Link,Job Title,Company,Days since Post,Location,Job Description,Salary
https://sg.indeed.com/rc/clk?jk=ea36c9978ded2427&bb=z19gs5XdyYcHpL1BixZSdt36wvD3o0YO8xf5F-y5ichO9-OHb5zCvMOiHlpIq3Xvac3m0YCKpej2eCR5XCiaixqYSd_L4sV6pHeLHaaUcxwTTVDHlHklEVVf4mQHr-wO&xkcb=SoA-67M365cLTQSxlJ0PbzkdCdPP&fccid=d900284f63844910&vjs=3,"Senior Officer/Associate, Administration (Workplace Management Specialist)",Micron,1,Singapore,"Workplace Management Specialist
We are seeking a dynamic and tech-savvy Workplace Management Specialist to oversee and enhance our workplace operations. The ideal candidate will have a strong aptitude for technology, with a focus on automating processes to improve efficiency, productivity, and employee experience. This role involves managing day-to-day workplace functions, improving internal workflows, and leveraging automation tools to create a streamlined and efficient working environment.
Workplace Operations Management:
Oversee daily office operations, ensuring a seamless and efficient working environment for employees.
Manage facilities, office equipment, and supplies, ensuring everything is maintained and functioning properly.
Develop and implement workplace policies and procedures to improve operational efficiency.
Process Automation:
Identify and assess manual processes that can be improved or automated.
Implement and maintain automation tools (e.g., workflow management software, RPA tools) to streamline workplace operations.
Collaborate with IT and other departments to ensure seamless integration of automation solutions.
Technology Implementation:
Stay up-to-date with the latest workplace technologies, including software, hardware, and IoT solutions.
Lead initiatives to introduce new tech solutions for improving office management, communication, and employee experience.
Train employees on using workplace management tools and technologies.
Vendor & Contract Management:
Manage relationships with vendors and service providers, negotiating contracts and ensuring the best service and pricing.
Oversee facility-related contracts (e.g., maintenance, cleaning, IT support) and monitor performance.
Employee Experience:
Create and foster a positive workplace experience for employees, focusing on comfort, efficiency, and productivity.
Support hybrid or remote work environments by implementing tools that enhance collaboration and communication.

Qualifications:
Proven experience in workplace management, office management, or a related field.
Experience with IT infrastructure, office technologies, and facility management software.
Strong project management skills with a focus on process improvement.
Excellent communication, problem-solving, and organizational skills.
Bachelor's degree in Building &/or facilities mgt / Business Admin/ Data Analytics or a related field is preferred.

Preferred Skills:
Experience with remote or hybrid workplace management.
Familiarity with robotics process automation (RPA) and artificial intelligence (AI) tools.Strong data analysis skills for measuring the efficiency and impact of process improvements.",No salary information provided
https://sg.indeed.com/rc/clk?jk=884d4cdbc7aef70b&bb=IayyimarFxqJWnUb1PrtkAKxQCW1lVDk8BwLozGZ-cu5qlRZ8z4lrRjQ4vYYdsy16CZwc84smoEHUahu0mph-tHUGxwOGXRladLE5jq6JMdMAjx265BIeUyZBaFClZH2&xkcb=SoDM67M365cLfMSxlJ0AbzkdCdPP&fccid=948ecbb7deb97e66&vjs=3,Recruitment Intern,Micron,1,Singapore,"Job Title: Recruitment Intern – (SEA & ANZ Regions)
Location: Singapore / Remote (with occasional office visits as needed)

Job Overview:
We are looking for a proactive Recruitment Intern to support our talent acquisition efforts in the IT sector across Southeast Asia (SEA) and Australia-New Zealand (ANZ) regions. As a Recruitment Intern, you will work closely with the recruitment team to source, screen, and engage top IT talent for various roles. This internship is ideal for someone passionate about recruitment, eager to learn, and interested in the technology industry.
Key Responsibilities:
Candidate Sourcing and Screening:
Source and identify potential IT candidates through various channels (LinkedIn, job portals, social media, etc.).
Conduct initial screenings to assess candidates’ technical skills, experience, and cultural fit.
Maintain and update the candidate pipeline for ongoing IT roles in SEA and ANZ.
Job Posting and Database Management:
Assist in posting job descriptions for IT roles across different job boards and platforms.
Maintain accurate and up-to-date records of candidate interactions in the recruitment database.
Collaboration with the Recruitment Team:
Work closely with the recruitment team to understand the specific IT role requirements and regional hiring strategies.
Schedule interviews and coordinate with candidates, recruiters, and hiring managers as needed.
Participate in team meetings to gain insights into recruitment strategies and market trends in SEA and ANZ.
Candidate Engagement and Communication:
Communicate with candidates to provide a seamless interview experience and keep them informed about the recruitment process.
Build and maintain positive relationships with potential candidates and enhance employer brand presence.
Market Research and Reporting:
Conduct market research to stay updated on hiring trends in the IT industry within SEA and ANZ.
Prepare regular reports on recruitment progress and share insights on candidate feedback and market challenges.
Qualifications:
Currently pursuing or recently completed a degree in Human Resources, Business Administration, or a related field.
Interest in recruitment, especially within the IT or technology industry.
Strong communication skills and ability to interact with candidates professionally.
Proficiency in MS Office Suite (Word, Excel, PowerPoint); familiarity with recruitment tools (e.g., LinkedIn) is a plus.
Ability to work independently, manage time effectively, and prioritize tasks.
Key Skills:
Candidate Sourcing & Screening : Ability to identify and assess suitable IT candidates.
Communication : Clear, professional interaction with candidates and hiring managers.
Organizational Skills : Strong attention to detail and ability to manage recruitment databases.
Market Research : Understanding of IT industry trends within SEA and ANZ regions.
What We Offer:
Hands-on experience in IT recruitment across SEA and ANZ regions.
Exposure to a dynamic and fast-growing field, with mentorship from experienced recruiters.
Flexible work environment and an opportunity to network with industry professionals.
This role is ideal for someone looking to start a career in recruitment, gain experience in IT hiring, and make a meaningful contribution to our team’s success.
When you apply, you voluntarily consent to the disclosure, collection and use of your personal data for employment/recruitment and related purposes in accordance with the Tech Aalto Privacy Policy, a copy of which is published at Tech Aalto’s website ( https://www.techaalto.com/privacy/)
Confidentiality is assured, and only shortlisted candidates will be notified for interviews.",No salary information provided
https://sg.indeed.com/rc/clk?jk=204a2e2e7904ec1c&bb=IayyimarFxqJWnUb1PrtkPcU9CFp5lpQs35hhjvnjaux4EYeX3vWi39OGhGOQ0eMOw7h0NRjjLig8SHWAb3fU1ouu4EJ8AXDA7eoa2dsNdzOu6kVaoMWa3cAqC18R0Dn&xkcb=SoB467M365cLfMSxlJ0BbzkdCdPP&fccid=1125d7f9667853b1&vjs=3,Project Manager,Micron,1,Singapore,"Responsibilities
Prepare Presentation for IPP reporting at a Program Level for reports to Managing Directors
Plan delivery workflows e.g. New Instrument asset classes
Drive conversations independently with Tech and BU owner for prioritisation and planning
Coordinate meeting arrangements between Tech and BU owner
Prepare and publish Minutes of Meeting (MOM)
Prepare Monthly Timesheet Utilisation reports to be shared with Tech
Lead cross-team coordination on adhoc tasks
Work with client’s Tech Director on adhoc tasks
Requirements
Degree holder
At least 10 years’ experience in application or production support
Familiarity with JIRA and SharePoint
Good presentation skills using Microsoft PowerPoint
Able to use advanced Microsoft Excel functions to compute and present data e.g. VLookUp, Pivot Table",No salary information provided
https://sg.indeed.com/rc/clk?jk=0315e8d243456071&bb=IayyimarFxqJWnUb1PrtkOjDSY5xoD8JOLAn3J1EshAP3bsA41tnqsGbZa_f90udXWV4bA88WfJNhBfSXGyqUo6RbAUhgUHQBHgyF1ZYPGxunqH6uq5Zm6sd0f1Xst8m&xkcb=SoDl67M365cLfMSxlJ0CbzkdCdPP&fccid=3de18cfd2560ba9a&cmp=Anradus-Pte-Ltd&ti=Administrative+Assistant&vjs=3,Operations Cum Admin Assistant #68537,Micron,1,Singapore,"Job Description
Industry/ Organization Type: Manufacturing
Position Title: Operations Cum Admin Assistant
Working Location: Benoi
Working Hours: 5 days (9 am-6 pm)
Salary Package: Basic Salary $3,500 + AWS + PB + Transport Provided
Duration: Permanent Role
Key Responsibilities
Prepare quotations for customers, including attaching before and after photos, and follow up on confirmed quotes/POs. Merge with DO for billing.
Send details to customers to request POs for rental or repairs before billing (e.g., pec, Sankyu, Vac-Tech, Keppel, etc.).
Prepare commercial invoices and packing lists for export trailers.
Prepare monthly trailer reports for accounting purposes.
Manage collections, including sending SOAs, follow-ups, reminder letters, and phone calls.
Ensure cash term sales/invoices are paid on time.
Manage cheque deposits.
Check rental invoices upon issuance and monitor that all customers are billed correctly, including checking in/out of trailers/PM.
Ensure RO1 form files and new trailer DO files are complete.
Re-check export trailer invoices for de-registration before filing.
Manage signed quotes from customers for billing and audit purposes for rental agreements.
Prepare monthly repair summaries.
Arrange container bookings through CMS.
Handle any other ad hoc duties assigned by superiors.
APPLY NOW!!!
Minimum Diploma qualification.
Minimum 1 year of experience in operations or related field.
Experienced in CMS is advantageous.
Excellent communication skills with clients.
Willingness to learn.
Kindly apply through ANY of the following methods:
Submit your application by clicking the APPLY button;
Email your resume to Job(at)anradus.com.sg. Kindly indicate #68537 on the email subject.
Anradus Application Policy: We value each application and ensure every resume is reviewed. Our process is efficient, typically concluding within 3 working days. If you do not receive communication from us within this timeframe, it's likely that your application has not been shortlisted by our client. In such cases, we recommend continuing your job search to maximize your opportunities.
Anradus Pte Ltd | EA License No. 20C0161 | Angel Lim | EA Reg No.: R1769781
Job Type: Full-time
Pay: $2,500.00 - $3,500.00 per month
Schedule:
Late shift
License/Certification:
identity to work without a sponsor(if no,we need apply pass) (Preferred)
Work Location: In person",No salary information provided
https://sg.indeed.com/rc/clk?jk=6ad87dc13020a31f&bb=IayyimarFxqJWnUb1PrtkEB04O0WagT9YvLNrGVGwqhDaC-0ZG9-0vuAjig56_pMXWK94WhWm_eEFaIDcDg3HAAqWLHE4s5_7OjOvfzw_iktGr-6c-Ev69mcmu5zDIll&xkcb=SoBR67M365cLfMSxlJ0DbzkdCdPP&fccid=5c77b671df932618&vjs=3,Admin Exe (Procurement),Micron,1,Singapore,"Elevate Your Career as an Admin Executive!
Are you ready to bring your administrative expertise to a dynamic team and make a direct impact every day? We're on the lookout for a talented Admin Executive to join us and play a vital role in keeping our operations efficient and on-point.

Location: Conveniently near Jalan Besar MRT
Salary: Competitive range from $2,500 to $3,000 per month
Work Schedule: Monday to Friday, 9:00 AM - 6:00 PM
What’s in it for You?
Imagine being part of a team that’s redefining the boutique hospitality experience, blending classic design with modern vibes. Here, we’re about more than just offering stays—we’re creating experiences, each property a social and cultural focal point. This role not only brings an opportunity to grow but to contribute to our mission of transforming every guest visit into a memory.
Key Responsibilities:
Daily Admin: Keep our office humming by handling everyday administrative tasks and keeping processes streamlined.
Procurement: Take charge of the P.O. process and vendor sourcing, ensuring quality and timely deliveries.
Cross-Department Support: Coordinate with various teams, helping keep communications and workflow smooth.
Inventory Management: Stay on top of office supplies and inventory, ensuring essentials are always stocked.
Executive Assistance: Manage schedules, draft documents, and prepare reports to keep management informed and efficient.
We’re Looking for:
Experienced Administrators: Familiar with procurement (P.O. creation, vendor sourcing) and ideally with a background in industries like hospitality, construction, or engineering.
Detail-Oriented Planners: Organized with a keen eye for detail and skilled in managing records and documentation.
Tech-Savvy Team Players: Proficiency in Microsoft Office (Word, Excel, PowerPoint) and exceptional communication skills to foster great teamwork.
Why Work with Us?
Here, your skills don’t just fill a role—they bring our vision to life. You’ll work with an innovative team, enjoy growth opportunities, and thrive in an environment where every day brings something exciting.



EA Personnel R22110043 Tan Eng Kang
EA License 21C0430 A Dreamworks Company Pte Ltd",No salary information provided
https://sg.indeed.com/rc/clk?jk=c8761cf893c60a24&bb=IayyimarFxqJWnUb1PrtkDJcWNeG3bhHCtGXPMrrN31NYXuhyBJNOpu-DyWHeBpOWBxMsh-A3kKGHchP6xH-8v_Sc12vRU17wxhIo0SfeiC8VnfTFj6U2Q%3D%3D&xkcb=SoC467M365cLfMSxlJ0MbzkdCdPP&fccid=c1099851e9794854&vjs=3,Systems Quality Project Manager,Micron,1,Singapore,"Summary

Posted: 28 Oct 2024

Weekly Hours: 40

Role Number:200574375

Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish! The people here at Apple don’t just craft products - they build the kind of wonder that’s revolutionized entire industries. It’s the diversity of our people and their ideas that inspires the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple and help us leave the world better than we found it!

Description

The AppleCare Technologies Systems Quality team has an immediate opening for a Systems Quality Project Manager to manage and lead User Acceptance Testing (UAT) activities for complex Regional and Global AppleCare systems and software projects. You will be responsible for the planning, coordination, execution management, issue resolution, and progress reporting of testing activities across business and technical groups on BPR led projects. Through your knowledge of industry best practices for quality management, you will help to evolve the way we approach test planning and execution. Develop Comprehensive Testing Strategies: • Quality advocate who will collaborate with business and technical teams to create quality test plans for cross- functional systems projects, focusing on User Acceptance Testing (UAT). • Design testing structures, defining roles and responsibilities across all regions, Apple organizations, and third-party vendors as needed. Establish UAT Communication and Coordination: • Define and manage UAT communication plans, including meeting schedules and escalation processes across global time zones. • Lead the scheduling and coordination of UAT preparation and execution activities. Risk Management and Resource Planning: • Proactively identify technological, organizational, and political risks, developing effective mitigation strategies. • Estimate resource requirements for testing and ensure realistic plans are in place. • Ensure the availability of test environments and necessary data to support testing activities. Optimize Testing Through Automation and Analysis: • Identify and implement opportunities to leverage automation for test preparation and execution. • Apply strong analytical skills to investigate and resolve issues discovered during UAT activities.
5-7 years experience leading testing/QA, with emphasis on planning and managing cross-functional testing
BE / BS Tech in Computer Science or information management from a premier school


Preferred Qualifications
Experience with test automation tools and frameworks
Experience with different testing methodologies and driving a quality mindset
Ability to develop technical expertise and understanding of system interdependencies, and their impacts on testing plans
Ability to abstract technical details and effectively communicate to audiences at different levels
Proficient at balancing multiple efforts at a time
Excellent listening, communication, leadership and presentation skills
Ability to develop and maintain relationships with internal partners
Exemplify flexible thinking, curiosity, self-motivation, dedication to quality, focus on the details, and a positive perspective
Strong organizational and documentation skills
SAP functional experience, and experience migrating from SAP R/3 to SAP S/4 HANA is beneficial
Ability to travel up to 10% of the time
Quality Assurance certification (ISTQB, ASQ, etc) and/or PMI certification is highly desirable",No salary information provided
https://sg.indeed.com/rc/clk?jk=c76c552290364a51&bb=IayyimarFxqJWnUb1PrtkMCoso318cFXyjK0-jdNGuNiO_xI21fYUrgA2T4Xtx0OJaiSVzZBfGI3_l-GB1VIB7f82E6KtE4bMa-5aognnEj1Rw9sX-g2USTTVWBVT79U&xkcb=SoAM67M365cLfMSxlJ0NbzkdCdPP&fccid=cbb72e1a889ac6ba&vjs=3,Senior Tech Consultant (ETL/ BI / DW) - Banking,Micron,1,Singapore,"Be the difference
If making a difference matters to you, then you matter to us.

We are looking for a Senior Technology Implementation Consultant to join our APAC’s Professional Services team, supporting the implementation of OneSumX, the marketing leading platform of Financial Risk and Reporting solutions effectively and efficiently for banking/financial industry clients. You'll be reporting to Associate Director, Technology Implementation Consulting.

This is a Permanent Full-Time position, to be based in Shenton Way, Singapore (hybrid working arrangement).


About the Role
All Professional Services Consultants are expected to successfully implement the organisation’s Finance solutions in the APAC Region, to support/complete the tasks outlined below.
Facilitate Project Initiation workshops
Identify data sourcing requirements and data requirements
Conduct data gap analyses
Conduct interface mapping
Create Business Requirement Documents/Functional Specification Documents as required
Conduct functional training
Identify test requirements from specifications, map test case requirements and design testing plans.
Support System Integration Testing (issue analysis and resolution)
Support regression testing and User Acceptance Testing (issue analysis and resolution)
Ensure effective client engagement and management
Adhere to the company’s project management and governance framework – specifically, monitor and track project milestones and deliverables; identify and manage issues and action items; create and maintain project status reports for project leads for incorporation into larger project status reports; proactively identify and mitigate potential project risks; and escalate issues where appropriate.

About You
5+ years’ overall experience. Minimum one end-to-end implementation of Banking Solution in the capacity of a technical consultant
Experience in implementing OneSumX solutions (Financial Risk and Reporting) is a plus
Bachelor degree or higher in Finance, Accounting, Banking or Economics, or in IT, Computer Science or Engineering complemented with a strong experience in the Banking industry or Financial Servicing.
Demonstrated strong programming skills (PL/SQL, SQL, Java/any other programming Language)
Demonstrated RDBMS experience (Oracle, SQL Server)
Good Understanding of software development lifecycle (SDLC)
Experience in Data Warehousing and Business Intelligence (DW/BI) project implementations
Good understanding of On-line Transaction Processing (OLTP) systems (Core Banking, Treasury Systems etc.)
Good understanding of BI and Reporting Systems
Good understanding of Extract, Transform and Load (ETL) Development
Demonstrated experience in customer facing roles
Fluency in English, written and oral
Excellent communication (written and oral) and interpersonal skills
Excellent client management and engagement skills
Assertive, being able to make expert decisions based on personal judgement
Ability to work independently while also being a good team player
Ability to work in a cross cultural environment

About Us
Wolters Kluwer reporte 2023 annual revenues of €5.6 billion. The group serves customers in over 180 countries, maintains operations in over 40 countries, and employs approximately 21,400 people worldwide. The company is headquartered in Alphen aan den Rijn, the Netherlands. Wolters Kluwer shares are listed on Euronext Amsterdam (WKL) and are included in the AEX and Euronext 100 indices.
For more information about our solutions and organization, visit www.wolterskluwer.com .

Dozens of awards on the market
Regulatory Reporting – Banking by Chartis RiskTech100®
Liquidity Risk by Chartis RiskTech100®
Best Solution for Regulatory Reporting Award, 2021 by Regulation Asia
Best Vendor Solution for MAS 610, APAC, 2021 by RegTech Insight
Best Regulatory Reporting Solution, APAC, 2021 by TegTech Insights
Regulatory Reporting Provider of the Year – Singapore, 2021 by APAC Insider
Best Risk Firm of the Year, APAC, 2021 by APAC insider
Best Regulatory Reporting Technology Firm of the Year, APAC, 2021 by APAC Insider

Equal Opportunity Employer
Wolters Kluwer and all of its subsidiaries, divisions and customer/business units is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or any other protected status.",No salary information provided
https://sg.indeed.com/rc/clk?jk=2b81f36157935753&bb=IayyimarFxqJWnUb1PrtkN-UcErK5SM2am9kgSJ6G_fAb6kKYToePAfgfO9KMpsYZ6EkI_0jHDTbQ-rxQtO7TgcYVeNDLLpHC9Z7YsZ8mnNwXiYn9iQVzELE_LhySLPw&xkcb=SoCR67M365cLfMSxlJ0ObzkdCdPP&fccid=948ecbb7deb97e66&vjs=3,JD Edwards Consultant,Micron,1,Singapore,"Job Title: JD Edwards E1 9.2 Finance Consultant
Location: Singapore / Remote with Global Delivery Model

Job Overview:
We are seeking a seasoned JD Edwards EnterpriseOne 9.2 Finance Consultant with extensive experience in JDE project implementations and upgrades. The ideal candidate will bring strong expertise in the finance modules (General Ledger, Accounts Payable, Accounts Receivable, and Fixed Assets), along with proficiency in gathering business requirements, defining system specifications, and delivering end-to-end financial solutions. This role requires a collaborative team player who excels in customer interactions and thrives in a global delivery model (onsite/offshore).
Key Responsibilities:
JD Edwards Implementation & Upgrade:
Lead and manage at least two full-cycle JD Edwards EnterpriseOne 9.2 project implementations or upgrades.
Conduct large-scale implementations for finance modules, including General Ledger, Accounts Payable, Accounts Receivable, and Fixed Assets.
Business Requirements Gathering and Documentation:
Collaborate with stakeholders to gather, analyze, and map business requirements to JDE EnterpriseOne 9.2 functionalities.
Develop comprehensive AS-IS and TO-BE documentation, ensuring alignment with business objectives.
Module Expertise and Functional Specifications:
Provide expertise in Contract Billing and Service Billing modules (highly desirable).
Define and create detailed functional and technical specifications to support project goals.
Global Delivery Model (Onsite/Offshore):
Operate effectively within a global delivery model, coordinating tasks and collaborating with onsite and offshore teams.
Customer Interaction and Support:
Engage with clients to provide guidance on both technology and business issues, ensuring seamless project delivery and user satisfaction.
Serve as a subject matter expert on JD Edwards 9.2 finance modules, offering insights and resolving issues efficiently.
Required Skills & Qualifications:
8-10 years of experience in JD Edwards EnterpriseOne 9.2 with at least two full-cycle implementations/upgrades.
Strong expertise in finance modules: General Ledger, Accounts Payable, Accounts Receivable, and Fixed Assets.
Proven experience in requirement gathering, process mapping, and preparing AS-IS and TO-BE documentation.
Knowledge of Contract Billing and Service Billing modules (preferred).
Experience with Global Delivery Model (Onsite/Offshore).
Excellent analytical, problem-solving, and communication skills.
Strong team player with demonstrated customer interaction skills.
Preferred Qualifications:
Ability to define and document functional and technical specifications.
Experience working in large-scale JDE environments and with diverse client teams.
This role provides an exciting opportunity for an experienced JD Edwards consultant to make a significant impact in high-profile finance projects within a global delivery setting.
When you apply, you voluntarily consent to the disclosure, collection and use of your personal data for employment/recruitment and related purposes in accordance with the Tech Aalto Privacy Policy, a copy of which is published at Tech Aalto’s website ( https://www.techaalto.com/privacy/)
Confidentiality is assured, and only shortlisted candidates will be notified for interviews.",No salary information provided
https://sg.indeed.com/rc/clk?jk=57aab31364976b8a&bb=IayyimarFxqJWnUb1PrtkIXd5aK4cpc-2ktNkiAqoBsE0pGwQXBGDBnYLnClew36dyJVKaKt8XzD7g9CjvVhpa2GKwqV8BrPCFgNAE6_u_PFrFwug85p-n2NEJmblIkX&xkcb=SoAl67M365cLfMSxlJ0PbzkdCdPP&fccid=263a9fda77e046d7&vjs=3,Legal Associate,Micron,1,Singapore,"WE ARE LOOKING TO EXPAND AND HIRE.

About Us
WhiteFern LLC is a multiple award-winning boutique disputes firm with a particular focus on insurance and reinsurance law as one of the market leaders in Singapore. Our broad range of services include policy coverage advice, third-party claim management, defence and mitigation, and business-related advice for insurers. Our team also provides counsel on disputes between insurers and service providers, contract reviews with business partners such as vendor and marketing platforms, and policy wording evaluations for new products. Beyond insurers, the firm is a trusted advisor to intermediaries, loss adjusters and other market players.

While we are well known for our specialisation in insurance practice, we also have a fast-growing dispute practice in commercial litigation, mediation and arbitration, whereby we are regularly appointed to deal with commercial disputes, construction disputes, MCST disputes, employment disputes, shareholders’ disputes, professional negligence and medical negligence disputes. We regularly appear before domestic courts and arbitration tribunals. You can learn more about us & our accomplishments at our website www.whitefern.law.

The Role
We are looking to bolster our commercial dispute practice with dynamic, passionate and collaborative lawyers. As a Legal Associate, you will play a pivotal role in our team. If you are interested, please email the following to general@whitefern.law:

Your cover letter
Detailed CV stating your current & expected remuneration
On the subject line of your email, please indicate “Application: Legal Associate”
Any additional details relevant to your application


Requirements
2 to 4 years’ PQE, Singapore qualified lawyer
Prior experience in dispute work
Excellent verbal and written communication skills
Possess initiative, drive and commercial acumen, and can work well both independently and in a team
Meticulous and well organised
Able to thrive in a fast paced and challenging professional services work atmosphere
Tech-savvy with a keen interest in staying abreast of evolving workplace technology

What We Offer
Exciting and diverse work assignments that challenge and inspire
Opportunities for continuous professional development and career advancement
A supportive and collaborative team culture that values your contributions
Competitive compensation and comprehensive benefits package
Opportunities for both oral and written advocacy in the High Court, Appellate Court, and arbitration proceedings

We will notify you if you are shortlisted for an interview. We look forward to hearing from you. Thank you.",No salary information provided
https://sg.indeed.com/rc/clk?jk=b84c92c44f1a34b1&bb=IayyimarFxqJWnUb1PrtkGfDaKSNjmy74p1hXHnum-Y2VKaIWN9my7vAysmlGvskCklVJHpLrD65MfkF__htc8EAW1zAM7F4GMvB4O2jWxESBSP6amOr-I1W_Pp0-q7a&xkcb=SoCr67M365cLfMSxlJ0IbzkdCdPP&fccid=aba8024dcefbd007&vjs=3,Fullstack Engineering Intern at Agentic AI Startup,Micron,1,Singapore,"Company
CarbonCopies AI
carboncopies.ai
Designation
Fullstack Engineering Intern at Agentic AI Startup
Date Listed
01 Nov 2024
Job Type
Entry Level / Junior Executive, Experienced / Senior Executive
Free/ProjIntern/TS
Job Period
Immediate Start, For At Least 3 Months
Profession
Engineering
Industry
Artificial Intelligence / Smart Automation
Location Name
Singapore
Work from Home
Allowance / Remuneration
$700 - 1,000 monthly
Company Profile
CarbonCopies AI is a pre-seed B2B SaaS startup focused on enhancing productivity through agentic AI that mimics user segments to test, validate, and optimize the consumer journey. We're on a mission to create the next generation of productivity tools that streamline workflows and optimize conversion
Website: www.carboncopies.ai
Intro Video: https://www.youtube.com/watch?v=aWk2XZ_8IhA
Job Description
The Challenge: As a Full-Stack Developer Intern, you'll be a ""jack-of-all-trades, master-of-some,"" with skills that span from web application development to basic database design. You should have a keen interest in building and testing applications quickly and efficiently. Here’s what you’ll be working on:
Develop and experiment with AI agents using large language models (LLMs) and multi-modal models.
Collaborate on full-stack development for CarbonCopies AI’s core platforms.
Engage with our early customers to gather feedback and iterate the product to meet real-world needs.
What We’re Looking For:
Curiosity and initiative to learn and build in a startup environment
Experience in software engineering projects, ideally with an interest in full-stack and automation (hands-on experience with web/app automation tools like Selenium or Playwright is a bonus). Ideally, you’re already exploring or tinkering with agentic AI projects.
Preferred Tech Stack:
Frontend: React.js, Next.js, React Native (basic understanding is fine)
Backend: Python, Node.js (NestJS), or Go
Experience or interest in web drivers like Playwright or Selenium and CI/CD pipelines.
Interview Process:
4-hour capped technical exercise
45 mins technical interview
15-minute intro call with one of the founders

FAQ
What is the work arrangement like? We prefer candidates with full time internship availability with hybrid 3 days in the office (Singapore Wework), 2 days working from anywhere
Will this convert to full-time? Can you sponsor a work visa? Yes, this has the potential to convert to full-time. We currently do not sponsor work visas.
What is the length of internship? 3-6 months
Application Instructions
Please apply for this position by submitting your CV and your Github using InternSG. Please highlight any coding challenges you would like us to consider.

Kindly note that only shortlisted candidates will be notified.",No salary information provided
